batch,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz
2,7,9.792052,0.098000,-0.098000,-0.098000,0.000000,0.098000,-0.098000
2,8,9.825449,0.000000,0.098000,-0.098000,0.098000,0.000000,0.000000
2,9,9.858840,-0.294000,0.196000,-0.196000,0.196000,0.000000,-0.196000
2,10,9.892244,-0.098000,0.098000,0.000000,0.098000,-0.098000,0.000000
2,11,9.925735,-0.098000,0.196000,0.098000,0.000000,0.000000,0.000000
2,12,9.959139,0.098000,0.098000,0.098000,-0.098000,0.098000,-0.098000
2,13,9.992534,0.000000,0.098000,-0.098000,0.294000,0.000000,-0.294000
2,14,10.025926,0.000000,0.098000,0.098000,0.000000,0.000000,0.000000
2,15,10.059318,-0.196000,0.098000,0.000000,0.000000,0.196000,-0.098000
2,16,10.092720,-0.098000,0.000000,0.000000,0.196000,0.000000,0.000000
2,17,10.126144,-0.392000,0.098000,0.196000,0.098000,0.098000,0.000000
2,18,10.159535,-0.098000,-0.196000,0.000000,0.196000,0.000000,0.000000
2,19,10.192928,-0.098000,0.196000,0.000000,0.000000,0.098000,0.000000
2,20,10.226324,-0.098000,0.000000,-0.196000,0.196000,0.196000,-0.098000
2,21,10.259710,-0.098000,0.196000,-0.098000,0.196000,0.196000,0.098000
2,22,10.293131,-0.294000,0.196000,0.098000,-0.098000,-0.098000,0.000000
2,23,10.326540,-0.098000,0.294000,-0.294000,0.000000,0.000000,0.000000
2,24,10.359936,-0.196000,0.294000,0.196000,0.196000,0.098000,0.000000
2,25,10.393329,-0.392000,0.000000,0.000000,0.000000,0.000000,0.196000
2,26,10.426720,-0.294000,0.098000,-0.196000,0.000000,0.000000,0.000000
2,27,10.460113,0.196000,0.098000,-0.098000,0.000000,0.000000,-0.196000
2,28,10.493506,0.098000,0.000000,-0.098000,0.294000,0.098000,-0.098000
2,29,10.526904,-0.098000,0.000000,-0.098000,0.000000,0.000000,-0.098000
2,30,10.560317,0.000000,0.000000,-0.098000,0.098000,0.098000,0.000000
2,31,10.593713,0.098000,0.000000,-0.098000,0.000000,0.098000,0.000000
2,32,10.627119,0.098000,0.000000,-0.098000,0.098000,0.294000,0.000000
2,33,10.660510,0.000000,-0.098000,0.196000,0.000000,0.196000,0.098000
2,34,10.693913,0.098000,0.098000,-0.196000,0.000000,0.000000,0.000000
2,35,10.727318,0.000000,0.000000,-0.196000,0.196000,0.000000,-0.098000
2,36,10.760714,-0.098000,0.196000,-0.196000,0.000000,0.196000,0.000000
2,37,10.794107,0.098000,0.000000,0.000000,-0.098000,0.098000,0.000000
2,38,10.827498,0.098000,0.098000,-0.098000,0.098000,0.196000,0.098000
2,39,10.860887,-0.098000,0.098000,0.000000,0.098000,0.000000,0.098000
2,40,10.894278,-0.098000,-0.196000,-0.098000,0.196000,0.000000,-0.196000
2,41,10.927669,0.000000,0.098000,0.098000,0.000000,0.294000,0.000000
2,42,10.961057,-0.196000,0.294000,-0.098000,0.000000,0.098000,-0.098000
2,43,10.994473,0.098000,0.392000,0.000000,0.000000,0.294000,-0.098000
2,44,11.027865,0.000000,0.098000,-0.098000,0.098000,0.000000,-0.098000
2,45,11.061259,-0.098000,0.000000,0.000000,0.098000,0.000000,-0.098000
