pose_id,session_id,recorded_at_utc,yaw_deg,pitch_deg,roll_deg,yaw_raw_deg,yaw0_deg,yaw_stddev_deg,pitch_stddev_deg,roll_stddev_deg,imu_samples,magnetic_samples,S1_Bx_raw_mT,S1_By_raw_mT,S1_Bz_raw_mT,S2_Bx_raw_mT,S2_By_raw_mT,S2_Bz_raw_mT,S1_Bx_stddev_mT,S1_By_stddev_mT,S1_Bz_stddev_mT,S2_Bx_stddev_mT,S2_By_stddev_mT,S2_Bz_stddev_mT,S1_Bx_corrected_mT,S1_By_corrected_mT,S1_Bz_corrected_mT,S2_Bx_corrected_mT,S2_By_corrected_mT,S2_Bz_corrected_mT,yaw_imu_original_deg,heading_error_estimate_deg,yaw_model_frame_deg,dial_frame_offset_applied_deg
247,cal-20260717T104800Z,2026-07-17T11:39:14.230106+00:00,-35.633478,-6.091631,-3.910458,-30.112707,0.325617,0.041691,0.043000,0.032357,211,32,-1.460813,-6.069875,2.303000,0.076563,2.949187,-1.120875,0.132559,0.155326,0.105608,0.113346,0.094325,0.074416,-1.404667,-6.147203,2.345620,-0.002042,2.879771,-1.095354,-30.438324,0.186734,-30.251590,5.381888050930
248,cal-20260717T104800Z,2026-07-17T11:39:34.670929+00:00,-45.677636,-5.236681,-4.977619,-39.908569,0.325617,0.045279,0.003078,0.005637,217,32,-1.822188,-5.616625,2.201938,0.431812,3.212563,-1.188250,0.140501,0.123052,0.096356,0.099130,0.101827,0.095600,-1.766042,-5.693953,2.244557,0.353208,3.143146,-1.162729,-40.234186,-0.061562,-40.295748,5.381888050930
249,cal-20260717T104800Z,2026-07-17T11:39:41.819950+00:00,-56.041127,-5.148732,-4.871288,-50.185220,0.325617,0.002045,0.002256,0.001938,210,32,-2.428562,-4.851000,1.926313,0.722750,3.197250,-1.163750,0.116047,0.082558,0.101446,0.092302,0.095600,0.081614,-2.372417,-4.928328,1.968932,0.644146,3.127833,-1.138229,-50.510837,-0.148402,-50.659239,5.381888050930
250,cal-20260717T104800Z,2026-07-17T11:39:48.768271+00:00,-65.437755,-5.042766,-4.773119,-59.497446,0.325617,0.001195,0.004068,0.003211,218,32,-3.016563,-4.008812,1.613938,0.946313,3.090063,-1.145375,0.104826,0.125351,0.105562,0.095143,0.114027,0.091247,-2.960417,-4.086141,1.656557,0.867708,3.020646,-1.119854,-59.823063,-0.232804,-60.055867,5.381888050930
251,cal-20260717T104800Z,2026-07-17T11:40:13.852224+00:00,53.833680,-5.589753,-9.990047,60.078685,0.325617,0.004178,0.003319,0.008690,210,32,4.134375,-2.921625,0.777875,-2.088625,-0.569625,0.101062,0.141770,0.137330,0.105424,0.076470,0.097802,0.107019,4.190521,-2.998953,0.820495,-2.167229,-0.639042,0.126583,59.753068,-0.537500,59.215568,5.381888050930
252,cal-20260717T104800Z,2026-07-17T11:40:18.710139+00:00,44.496017,-5.747120,-9.840895,50.800032,0.325617,0.004665,0.004133,0.004241,211,32,3.944500,-4.018000,1.249500,-2.030438,-0.024500,-0.128625,0.136339,0.145144,0.121946,0.075642,0.114070,0.080419,4.000646,-4.095328,1.292120,-2.109042,-0.093917,-0.103104,50.474415,-0.596510,49.877905,5.381888050930
253,cal-20260717T104800Z,2026-07-17T11:40:23.907290+00:00,34.686063,-5.926881,-9.732089,41.053208,0.325617,0.006278,0.003783,0.006563,211,32,3.665812,-5.031688,1.662937,-1.813000,0.603313,-0.367500,0.126581,0.091829,0.128102,0.129343,0.093501,0.114070,3.721958,-5.109016,1.705557,-1.891604,0.533896,-0.341979,40.727591,-0.659640,40.067951,5.381888050930
254,cal-20260717T104800Z,2026-07-17T11:40:29.331928+00:00,24.167372,-6.073473,-9.617177,30.600410,0.325617,0.012952,0.017030,0.008966,218,32,3.185000,-6.039250,1.990625,-1.580250,1.261750,-0.588000,0.108502,0.116089,0.112532,0.077725,0.118727,0.089749,3.241146,-6.116578,2.033245,-1.658854,1.192333,-0.562479,30.274793,-0.725533,29.549260,5.381888050930
255,cal-20260717T104800Z,2026-07-17T11:40:35.403294+00:00,14.437371,-6.195260,-9.554308,20.944159,0.325617,0.030688,0.013658,0.012155,218,32,2.698062,-6.642562,2.281563,-1.301562,1.797688,-0.799312,0.129305,0.126275,0.119985,0.109169,0.091829,0.082967,2.754208,-6.719891,2.324182,-1.380167,1.728271,-0.773792,20.618542,-0.799283,19.819259,5.381888050930
256,cal-20260717T104800Z,2026-07-17T11:40:41.042711+00:00,4.160002,-6.261924,-9.434334,10.735292,0.325617,0.003833,0.009147,0.001619,217,32,2.140687,-7.178500,2.538813,-0.940188,2.266250,-0.924875,0.117044,0.111321,0.148017,0.105195,0.121309,0.111146,2.196833,-7.255828,2.581432,-1.018792,2.196833,-0.899354,10.409675,-0.867785,9.541890,5.381888050930
