pose_index,pose,sample,elapsed_s,S1_Bx,S1_By,S1_Bz,S2_Bx,S2_By,S2_Bz,S1_attempts,S1_frame_counter,S1_registers_hex,S2_attempts,S2_frame_counter,S2_registers_hex
1,yaw_plus_90,15,28.868859,2.156000,-0.294000,0.196000,-0.588000,-2.940000,0.980000,1,0,01ff00106d0256830800,1,0,fffe0010a20a5a830400
1,yaw_plus_90,16,28.902251,2.156000,-0.196000,0.196000,-0.784000,-2.842000,1.274000,1,1,01ff00146e0252830800,1,1,fffe0014830d5a830400
1,yaw_plus_90,17,28.935748,2.254000,-0.098000,0.098000,-0.784000,-2.940000,1.176000,1,2,01ff00187f0155830800,1,2,fffe0018820c59830400
1,yaw_plus_90,18,28.969148,2.156000,-0.098000,0.098000,-0.784000,-2.842000,1.274000,1,3,01ff001c6f0153830800,1,3,fffe001c830d5a830400
1,yaw_plus_90,19,29.002540,2.156000,-0.098000,0.098000,-0.784000,-2.646000,1.274000,1,0,01ff00106f0155830800,1,0,fffe0010850d5a830400
1,yaw_plus_90,20,29.035956,2.156000,0.000000,0.098000,-0.784000,-2.842000,1.176000,1,1,01000014600155830800,1,1,fffe0014830c5a830400
1,yaw_plus_90,21,29.069348,2.352000,-0.098000,0.098000,-0.784000,-2.842000,1.274000,1,2,01ff00188f0155830800,1,2,fffe0018830d59830400
1,yaw_plus_90,22,29.102736,2.156000,0.098000,0.294000,-0.882000,-2.744000,1.078000,1,3,0100001c610355830800,1,3,fffe001c740b59830400
1,yaw_plus_90,23,29.136155,2.156000,-0.196000,0.098000,-0.784000,-2.842000,1.274000,1,0,01ff00106e0157830800,1,0,fffe0010830d5a830400
1,yaw_plus_90,24,29.169548,2.548000,-0.196000,0.196000,-0.784000,-3.038000,1.078000,1,1,01ff0014ae0254830800,1,1,fffe0014810b5a830400
1,yaw_plus_90,25,29.202936,1.960000,-0.098000,0.098000,-0.686000,-3.038000,1.176000,1,2,01ff00184f0153830800,1,2,fffe0018910c5a830400
1,yaw_plus_90,26,29.236350,1.960000,-0.196000,0.098000,-0.882000,-2.744000,0.882000,1,3,01ff001c4e0153830800,1,3,fffe001c74095a830400
1,yaw_plus_90,27,29.269799,2.450000,-0.294000,-0.098000,-0.882000,-3.038000,1.176000,1,0,01ffff109d0f54830800,1,0,fffe0010710c5b830400
1,yaw_plus_90,28,29.303196,1.960000,0.000000,0.000000,-0.882000,-2.940000,1.176000,1,1,01000014400054830800,1,1,fffe0014720c5a830400
1,yaw_plus_90,29,29.336609,2.156000,-0.098000,0.098000,-0.686000,-2.940000,1.176000,1,2,01ff00186f0153830800,1,2,fffe0018920c59830400
1,yaw_plus_90,30,29.370008,2.156000,-0.294000,-0.098000,-0.686000,-2.940000,1.274000,1,3,01ffff1c6d0f54830800,1,3,fffe001c920d5b830400
1,yaw_plus_90,31,29.403405,2.352000,0.000000,-0.098000,-1.078000,-2.842000,1.176000,1,0,0100ff10800f55830800,1,0,fffe0010530c59830400
1,yaw_plus_90,32,29.436812,2.156000,0.000000,0.294000,-0.588000,-2.940000,1.078000,1,1,01000014600355830800,1,1,fffe0014a20b59830400
1,yaw_plus_90,33,29.470197,2.254000,-0.098000,0.000000,-0.784000,-2.744000,1.274000,1,2,01ff00187f0055830800,1,2,fffe0018840d5a830400
1,yaw_plus_90,34,29.503608,2.254000,-0.196000,0.098000,-0.784000,-2.744000,1.176000,1,3,01ff001c7e0156830800,1,3,fffe001c840c5a830400
1,yaw_plus_90,35,29.537022,2.352000,-0.098000,0.392000,-0.784000,-2.842000,1.274000,1,0,01ff00108f0453830800,1,0,fffe0010830d59830400
1,yaw_plus_90,36,29.570406,2.548000,-0.098000,0.098000,-0.686000,-2.842000,1.176000,1,1,01ff0014af0154830800,1,1,fffe0014930c59830400
1,yaw_plus_90,37,29.603803,2.254000,-0.098000,0.098000,-0.784000,-2.842000,1.176000,1,2,01ff00187f0154830800,1,2,fffe0018830c59830400
1,yaw_plus_90,38,29.637221,2.352000,0.000000,-0.098000,-0.980000,-2.744000,1.078000,1,3,0100ff1c800f53830800,1,3,fffe001c640b5a830400
1,yaw_plus_90,39,29.670654,2.352000,0.098000,0.196000,-0.686000,-2.842000,1.176000,1,0,01000010810253830800,1,0,fffe0010930c59830400
1,yaw_plus_90,40,29.704047,2.254000,0.000000,0.196000,-0.784000,-2.842000,1.274000,1,1,01000014700255830800,1,1,fffe0014830d5a830400
1,yaw_plus_90,41,29.737464,1.960000,-0.098000,0.392000,-0.784000,-2.842000,1.176000,1,2,01ff00184f0455830800,1,2,fffe0018830c59830400
1,yaw_plus_90,42,29.770869,2.254000,-0.098000,0.294000,-0.784000,-2.940000,0.882000,1,3,01ff001c7f0355830800,1,3,fffe001c820959830400
1,yaw_plus_90,43,29.804277,2.254000,-0.196000,0.294000,-0.882000,-3.038000,1.176000,1,0,01ff00107e0353830800,1,0,fffe0010710c59830400
1,yaw_plus_90,44,29.837693,2.254000,0.196000,-0.098000,-0.784000,-2.842000,1.176000,1,1,0100ff14720f54830800,1,1,fffe0014830c5a830400
1,yaw_plus_90,45,29.871158,2.058000,-0.098000,0.000000,-0.882000,-2.842000,1.274000,1,2,01ff00185f0053830800,1,2,fffe0018730d59830400
1,yaw_plus_90,46,29.904575,2.254000,-0.196000,0.098000,-0.784000,-3.038000,1.176000,1,3,01ff001c7e0154830800,1,3,fffe001c810c5a830400
